time,open,high,low,close,EMA,EMA,EMA,EMA
1441670400,241.31,247.82,240.31,244.14,248.6702120521755,234.39734216515515,235.0821849707341,237.06258881920783
1441756800,244.24,244.69,238.6,238.75,248.51199019316923,235.80343614156155,237.11725497723762,239.45505921280522
1441843200,238.74,241.4,236.69,238.52,248.16299054341317,236.2229452641956,237.47786498229593,239.21670614187016
1441929600,238.55,241.54,238.5,240.9,247.819669452577,236.5553816550248,237.7161172084524,238.9944707612468
1442016000,240.9,241.12,235.26,236.5,247.57253840069924,237.1760414185927,238.42364671768522,239.62964717416452
1442102400,236.5,236.91,229.72,230.82,247.17709060067426,237.07946407307944,237.99616966931072,238.586431449443
1442188800,230.83,233.99,228.01,231.01,246.59326593636447,236.18668349121094,236.403687520575,236.0009542996287
1442275200,231.02,232.43,230.26,230.6,246.0370778672086,235.44858584960937,235.2073125160028,234.34063619975245
1442361600,230.67,232,226.85,229.73,245.48825365766544,234.7659307282366,234.19902084577996,233.11709079983495
1442448000,229.72,235.93,229.01,233.34,244.92510174132025,234.04508348134567,233.20368288005108,231.98472719988996
1442534400,233.31,234.96,231.75,233.78,244.51027667913024,233.94007155543915,233.22730890670638,232.42648479992664
1442620800,233.78,234.31,232,232.88,244.12705251201845,233.91720419037642,233.35012914966052,232.87765653328444
1442707200,232.88,234,231.84,232.24,243.72537206516066,233.7690321631798,233.24565600529152,232.87843768885628
1442793600,232.26,233.64,226.87,227.31,243.31589449140492,233.5534561398684,233.02662133744897,232.67229179257086
1442880000,227.31,232.5,224.45,231.28,242.74425540242618,232.6615338341729,231.7562610402381,230.88486119504725
1442966400,231.31,233,229.27,230.26,242.3358891380538,232.4684575721482,231.65709192018517,231.0265741300315
1443052800,230.26,235.99,230.09,235.27,241.9046073831233,232.15296363326988,231.34662704903292,230.771049420021
1443139200,235.35,237.62,234.02,235.89,241.67051426229747,232.60968311423133,232.23626548258116,232.297366280014
1443225600,235.88,236.2,233.5,234.69,241.46371018150114,233.07687124076972,233.0459842642298,233.49157752000932
1443312000,234.67,235.03,233.2,233.58,241.22107767501896,233.3044610635169,233.4068766499565,233.88438501333954
1443398400,233.53,240.52,233.53,239.99,240.94639632948258,233.33668091158592,233.43423739441062,233.7662566755597
